#time =  2.4000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  8.0000000E+00
  1.110223025E-15  6.023993431E-13  1.361847591E-14  3.011864942E-13 -2.563455404E-19  5.683861409E-16 -5.275313220E-19 -5.907521950E-21  1.946240493E-19  1.386975109E-19
  2.315738055E-04  1.256503470E-01  5.681501284E-03  1.256521996E-01 -2.764159792E-06  2.371186128E-04  4.358179493E-03  2.121347361E-07  3.409076458E-03 -5.528070659E-06
  4.719096756E-04  2.560549298E-01  1.157815084E-02  2.560626228E-01 -1.120013037E-05  4.832048751E-04  1.797576765E-02  2.217811514E-06  1.368221801E-02 -4.626179344E-05
  7.213386952E-04  3.913933926E-01  1.769776826E-02  3.914042079E-01 -2.589089100E-05  7.385777184E-04  4.172609485E-02  1.041931723E-05  3.086187809E-02 -1.654489901E-04
  9.802044256E-04  5.318521496E-01  2.404814581E-02  5.318492886E-01 -4.748238730E-05  1.003536975E-03  7.656185600E-02  3.271401855E-05  5.495201599E-02 -4.168917569E-04
  1.248863372E-03  6.776246376E-01  3.063693943E-02  6.775671843E-01 -7.667481281E-05  1.278350344E-03  1.235120085E-01  8.092793557E-05  8.591444627E-02 -8.661060684E-04
  1.527685466E-03  8.289115798E-01  3.747153473E-02  8.287212349E-01 -1.142166736E-04  1.563235104E-03  1.836735640E-01  1.712315426E-04  1.236653902E-01 -1.591361820E-03
  1.817054573E-03  9.859212582E-01  4.455888534E-02  9.854652271E-01 -1.609042042E-04  1.858333335E-03  2.581968031E-01  3.245306807E-04  1.680724510E-01 -2.684503001E-03
  2.117369010E-03  1.148869797E+00  5.190532231E-02  1.147939179E+00 -2.175883700E-04  2.163679597E-03  3.482623742E-01  5.668262085E-04  2.189522850E-01 -4.251421564E-03
  2.429042085E-03  1.317981454E+00  5.951633407E-02  1.316264472E+00 -2.851901897E-04  2.479160538E-03  4.550488316E-01  9.295358620E-04  2.760692687E-01 -6.412033844E-03
  2.752502662E-03  1.493488929E+00  6.739631870E-02  1.490538374E+00 -3.647215589E-04  2.804467102E-03  5.796895622E-01  1.449769124E-03  3.391354507E-01 -9.299591256E-03
  3.088195738E-03  1.675633673E+00  7.554831301E-02  1.670828049E+00 -4.573017925E-04  3.139042156E-03  7.232189265E-01  2.170537935E-03  4.078119678E-01 -1.305915867E-02
  3.436583048E-03  1.864666220E+00  8.397370723E-02  1.857164241E+00 -5.641476848E-04  3.482030053E-03  8.865090939E-01  3.140868207E-03  4.817118483E-01 -1.784513286E-02
  3.798143689E-03  2.060846526E+00  9.267194423E-02  2.049534630E+00 -6.864965174E-04  3.832222743E-03  1.070202190E+00  4.415766389E-03  5.604040988E-01 -2.381759459E-02
  4.173374766E-03  2.264444316E+00  1.016402138E-01  2.247877066E+00 -8.256797974E-04  4.187977311E-03  1.274628127E+00  6.056312824E-03  6.434206943E-01 -3.113767419E-02
  4.562792067E-03  2.475739453E+00  1.108732089E-01  2.452074174E+00 -9.832037702E-04  4.547224970E-03  1.499753174E+00  8.129579294E-03  7.302632788E-01 -3.996386475E-02
  4.966930756E-03  2.695022314E+00  1.203628520E-01  2.661947317E+00 -1.160719209E-03  4.907405059E-03  1.745095620E+00  1.070846043E-02  8.204129070E-01 -5.044534455E-02
  5.386346095E-03  2.922594180E+00  1.300981159E-01  2.877252615E+00 -1.360027625E-03  5.265490134E-03  2.009681813E+00  1.387146864E-02  9.133394394E-01 -6.271609761E-02
  5.821614194E-03  3.158767643E+00  1.400649010E-01  3.097678238E+00 -1.583076150E-03  5.618050728E-03  2.292023324E+00  1.770241854E-02  1.008511249E+00 -7.688903557E-02
  6.273332782E-03  3.403867028E+00  1.502459847E-01  3.322843297E+00 -1.831951894E-03  5.961359531E-03  2.590113159E+00  2.229002082E-02  1.105404908E+00 -9.305031520E-02
  6.742122015E-03  3.658228827E+00  1.606210592E-01  3.552298657E+00 -2.108877019E-03  6.291538135E-03  2.901445877E+00  2.772740373E-02  1.203514290E+00 -1.112542905E-01
  7.228625305E-03  3.922202151E+00  1.711668663E-01  3.785529946E+00 -2.416205447E-03  6.604745469E-03  3.223065823E+00  3.411158565E-02  1.302358498E+00 -1.315195816E-01
  7.733510186E-03  4.196149199E+00  1.818574400E-01  4.021962893E+00 -2.756420968E-03  6.897400398E-03  3.551645538E+00  4.154292230E-02  1.401488100E+00 -1.538267088E-01
  8.257469204E-03  4.480445743E+00  1.926644492E-01  4.260970932E+00 -3.132133877E-03  7.166420302E-03  3.883591773E+00  5.012454105E-02  1.500489422E+00 -1.781175602E-01
  8.801220850E-03  4.775481629E+00  2.035576272E-01  4.501884680E+00 -3.546068119E-03  7.409441330E-03  4.215167498E+00  5.996174354E-02  1.598987193E+00 -2.042965456E-01
  9.365510511E-03  5.081661301E+00  2.145052454E-01  4.744002431E+00 -4.001023426E-03  7.624967515E-03  4.542602038E+00  7.116129336E-02  1.696646844E+00 -2.322325303E-01
  9.951111475E-03  5.399404338E+00  2.254747055E-01  4.986603236E+00 -4.499883842E-03  7.812532724E-03  4.862235475E+00  8.383119438E-02  1.793173483E+00 -2.617645516E-01
  1.055882595E-02  5.729146014E+00  2.364331078E-01  5.228959488E+00 -5.045667915E-03  7.972773393E-03  5.170624408E+00  9.808018963E-02  1.888311570E+00 -2.927063252E-01
  1.118948614E-02  6.071337878E+00  2.473478704E-01  5.470350602E+00 -5.641469126E-03  8.107439637E-03  5.464650298E+00  1.140168033E-01  1.981841647E+00 -3.248534706E-01
  1.184395536E-02  6.426448353E+00  2.581873546E-01  5.710076858E+00 -6.290426388E-03  8.219317760E-03  5.741625387E+00  1.317490483E-01  2.073574970E+00 -3.579913139E-01
  1.252312914E-02  6.794963356E+00  2.689213938E-01  5.947471092E+00 -6.995701371E-03  8.312148107E-03  5.999335089E+00  1.513838731E-01  2.163349695E+00 -3.919014156E-01
  1.322793648E-02  7.177386946E+00  2.795217927E-01  6.181909732E+00 -7.760448818E-03  8.390526001E-03  6.236068013E+00  1.730265742E-01  2.251026002E+00 -4.263684241E-01
  1.395934100E-02  7.574241985E+00  2.899627683E-01  6.412822564E+00 -8.587779238E-03  8.459800841E-03  6.450630247E+00  1.967801476E-01  2.336480906E+00 -4.611867388E-01
  1.471834227E-02  7.986070833E+00  3.002213059E-01  6.639700592E+00 -9.480714714E-03  8.525989368E-03  6.642340149E+00  2.227445574E-01  2.419603635E+00 -4.961663836E-01
  1.550597712E-02  8.413436060E+00  3.102774052E-01  6.862101492E+00 -1.044214133E-02  8.595713488E-03  6.811000480E+00  2.510159135E-01  2.500292463E+00 -5.311375206E-01
  1.632332096E-02  8.856921184E+00  3.201142059E-01  7.079652380E+00 -1.147476658E-02  8.676155431E-03  6.956847905E+00  2.816856018E-01  2.578453462E+00 -5.659532663E-01
  1.717148926E-02  9.317131442E+00  3.297180029E-01  7.292050151E+00 -1.258109826E-02  8.774984243E-03  7.080488034E+00  3.148395023E-01  2.654000445E+00 -6.004910620E-01
  1.805163894E-02  9.794694578E+00  3.390782007E-01  7.499060480E+00 -1.376347477E-02  8.900134308E-03  7.182841537E+00  3.505576189E-01  2.726852954E+00 -6.346540345E-01
  1.896496994E-02  1.029026167E+01  3.481872581E-01  7.700516580E+00 -1.502409147E-02  9.059475157E-03  7.265111834E+00  3.889108638E-01  2.796932782E+00 -6.683746448E-01
  1.991272674E-02  1.080450796E+01  3.570403831E-01  7.896312476E+00 -1.636518459E-02  9.260488841E-03  7.328658736E+00  4.299613936E-01  2.864167509E+00 -7.016073666E-01
  2.089620002E-02  1.133813377E+01  3.656354378E-01  8.086400883E+00 -1.778874425E-02  9.510224827E-03  7.374996455E+00  4.737630044E-01  2.928493825E+00 -7.343360173E-01
  2.191672831E-02  1.189186537E+01  3.739725146E-01  8.270783844E+00 -1.929673088E-02  9.814729893E-03  7.405695793E+00  5.203583098E-01  2.989853470E+00 -7.665650898E-01
  2.297569973E-02  1.246645594E+01  3.820537423E-01  8.449508445E+00 -2.089114515E-02  1.017867438E-02  7.422354858E+00  5.697787053E-01  3.048201020E+00 -7.983174729E-01
  2.407455377E-02  1.306268656E+01  3.898830772E-01  8.622662175E+00 -2.257401527E-02  1.060501329E-02  7.426575033E+00  6.220434355E-01  3.103517103E+00 -8.296324888E-01
  2.521478318E-02  1.368136716E+01  3.974660702E-01  8.790367806E+00 -2.434735226E-02  1.109458448E-02  7.419936797E+00  6.771585273E-01  3.155824718E+00 -8.605626458E-01
  2.639793584E-02  1.432333762E+01  4.048096453E-01  8.952778465E+00 -2.621306825E-02  1.164563299E-02  7.403975591E+00  7.351155913E-01  3.205207494E+00 -8.911691602E-01
  2.762561679E-02  1.498946881E+01  4.119219218E-01  9.110073718E+00 -2.817286070E-02  1.225325832E-02  7.380158572E+00  7.958905903E-01  3.251827359E+00 -9.215165265E-01
  2.889949023E-02  1.568066374E+01  4.188121171E-01  9.262457420E+00 -3.022808186E-02  1.290879910E-02  7.349863851E+00  8.594428614E-01  3.295937006E+00 -9.516667717E-01
  3.022128169E-02  1.639785866E+01  4.254905469E-01  9.410157710E+00 -3.237964153E-02  1.359920404E-02  7.314364628E+00  9.257150156E-01  3.337879401E+00 -9.816745695E-01
  3.159278018E-02  1.714202426E+01  4.319686981E-01  9.553428636E+00 -3.462803961E-02  1.430649992E-02  7.274820885E+00  9.946349023E-01  3.378061916E+00 -1.011585197E+00
  3.301584048E-02  1.791416695E+01  4.382593003E-01  9.692551724E+00 -3.697360532E-02  1.500938162E-02  7.232288400E+00  1.066116337E+00  3.416900534E+00 -1.041441566E+00
  3.449238544E-02  1.871533005E+01  4.443763408E-01  9.827836316E+00 -3.941678200E-02  1.568193162E-02  7.187713654E+00  1.140041620E+00  3.454701489E+00 -1.071295772E+00
  3.602440846E-02  1.954659515E+01  4.503347164E-01  9.959611874E+00 -4.195832790E-02  1.630280112E-02  7.141895713E+00  1.216295322E+00  3.491675748E+00 -1.101215004E+00
  3.761397589E-02  2.040908346E+01  4.561500172E-01  1.008822319E+01 -4.459853335E-02  1.686287225E-02  7.095658867E+00  1.294737082E+00  3.527872462E+00 -1.131282499E+00
  3.926322970E-02  2.130395718E+01  4.618379748E-01  1.021401817E+01 -4.733771632E-02  1.735652640E-02  7.049791690E+00  1.375203172E+00  3.563160506E+00 -1.161581657E+00
  4.097439007E-02  2.223242098E+01  4.674139945E-01  1.033733754E+01 -5.017647269E-02  1.778332703E-02  7.004983800E+00  1.457497479E+00  3.597356982E+00 -1.192198535E+00
  4.274975816E-02  2.319572344E+01  4.728927644E-01  1.045850613E+01 -5.311583428E-02  1.814756429E-02  6.961779626E+00  1.541383985E+00  3.630360573E+00 -1.223224003E+00
  4.459171893E-02  2.419515863E+01  4.782879988E-01  1.057782725E+01 -5.615726949E-02  1.845488540E-02  6.920566258E+00  1.626582611E+00  3.662268829E+00 -1.254754731E+00
  4.650274407E-02  2.523206767E+01  4.836123693E-01  1.069558113E+01 -5.930246543E-02  1.870562399E-02  6.881610409E+00  1.712770695E+00  3.693452073E+00 -1.286891754E+00
  4.848539500E-02  2.630784037E+01  4.888776550E-01  1.081202830E+01 -6.255285560E-02  1.888537932E-02  6.845149022E+00  1.799592426E+00  3.724552014E+00 -1.319734867E+00
  5.054232598E-02  2.742391690E+01  4.940950965E-01  1.092741734E+01 -6.590892201E-02  1.895523997E-02  6.811512986E+00  1.886678136E+00  3.756373261E+00 -1.353370489E+00
