#time =  2.1800250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  8.0000000E+00
  1.110223025E-15  1.276915988E-12  3.059438393E-14  6.384117319E-13 -2.148477367E-18  4.427157378E-16 -7.427893975E-17  1.079073020E-18  1.991934822E-17 -1.911833537E-19
  2.315738055E-04  2.663431474E-01  1.276232577E-02  2.663109188E-01 -9.722117668E-07  1.846504580E-04  1.420462475E-02  1.555393384E-06  8.127538551E-03 -2.501873095E-05
  4.719096756E-04  5.427639278E-01  2.600427352E-02  5.426300896E-01 -2.107209665E-06  3.759711451E-04  5.822654790E-02  1.690518605E-05  3.175392719E-02 -2.019337129E-04
  7.213386952E-04  8.296431367E-01  3.974041761E-02  8.292616347E-01 -3.295188442E-06  5.737773729E-04  1.344632434E-01  7.663804445E-05  6.972737319E-02 -7.232264394E-04
  9.802044256E-04  1.127375919E+00  5.398251861E-02  1.126450961E+00 -4.317173608E-06  7.777638698E-04  2.456797096E-01  2.284032618E-04  1.208447092E-01 -1.834093486E-03
  1.248863372E-03  1.436372306E+00  6.873827387E-02  1.434358690E+00 -4.837651757E-06  9.874999956E-04  3.947926797E-01  5.355995812E-04  1.838576798E-01 -3.829929387E-03
  1.527685466E-03  1.757057774E+00  8.400993722E-02  1.753031852E+00 -4.399393965E-06  1.202413398E-03  5.845974635E-01  1.075458857E-03  2.574810869E-01 -7.049971573E-03
  1.817054573E-03  2.089873822E+00  9.979286534E-02  2.082373553E+00 -2.421588091E-06  1.421757296E-03  8.174400701E-01  1.936698146E-03  3.404043897E-01 -1.186640668E-02
  2.117369010E-03  2.435278571E+00  1.160740758E-01  2.422112893E+00  1.796642127E-06  1.644558355E-03  1.094842800E+00  3.216994718E-03  4.313084773E-01 -1.866845270E-02
  2.429042085E-03  2.793747386E+00  1.328309313E-01  2.771777497E+00  9.063512716E-06  1.869546855E-03  1.417101006E+00  5.020585922E-03  5.288888686E-01 -2.784137075E-02
  2.752502662E-03  3.165773523E+00  1.500300910E-01  3.130671643E+00  2.026583430E-05  2.095080742E-03  1.782885840E+00  7.456259404E-03  6.318850093E-01 -3.974113611E-02
  3.088195738E-03  3.551868790E+00  1.676268871E-01  3.497863253E+00  3.631245860E-05  2.319093135E-03  2.188919114E+00  1.063579553E-02  7.391117660E-01 -5.466676774E-02
  3.436583048E-03  3.952564251E+00  1.855652804E-01  3.872182956E+00  5.803011848E-05  2.539123806E-03  2.629842793E+00  1.467242010E-02  8.494823225E-01 -7.283429590E-02
  3.798143689E-03  4.368410934E+00  2.037784069E-01  4.252235506E+00  8.610704423E-05  2.752490919E-03  3.098395344E+00  1.967853330E-02  9.620117415E-01 -9.435787033E-02
  4.173374766E-03  4.799980584E+00  2.221899779E-01  4.636428990E+00  1.206712184E-04  2.956498625E-03  3.585517353E+00  2.576668966E-02  1.075842861E+00 -1.192277999E-01
  4.562792067E-03  5.247866429E+00  2.407157206E-01  5.023004888E+00  1.618778639E-04  3.148598718E-03  4.080958771E+00  3.304809749E-02  1.190236885E+00 -1.473111462E-01
  4.966930756E-03  5.712683985E+00  2.592662737E-01  5.410098505E+00  2.095039884E-04  3.326828594E-03  4.573774178E+00  4.163409652E-02  1.304559080E+00 -1.783470970E-01
  5.386346095E-03  6.195071884E+00  2.777499307E-01  5.795796205E+00  2.628635606E-04  3.489907295E-03  5.053032542E+00  5.163584244E-02  1.418264361E+00 -2.119576351E-01
  5.821614194E-03  6.695692734E+00  2.960754915E-01  6.178194917E+00  3.209315642E-04  3.637275034E-03  5.508488959E+00  6.316336986E-02  1.530879575E+00 -2.476679470E-01
  6.273332782E-03  7.215234010E+00  3.141552194E-01  6.555463844E+00  3.824431330E-04  3.769153728E-03  5.931150754E+00  7.632431470E-02  1.641983250E+00 -2.849335114E-01
  6.742122015E-03  7.754408980E+00  3.319076602E-01  6.925903283E+00  4.459429493E-04  3.886644816E-03  6.313702743E+00  9.122219383E-02  1.751186251E+00 -3.231720737E-01
  7.228625305E-03  8.313957662E+00  3.492600427E-01  7.287994726E+00  5.097690520E-04  3.991878887E-03  6.650771308E+00  1.079541812E-01  1.858117327E+00 -3.617976740E-01
